unknown	document	note	3630 nodes, 101 of them focusable, at 1 device pixels per CSS pixel
unknown	rect	node:in from an edge, and up from the bottom	901.0 2133.0 236.0 16.0
unknown	rect	node:sheetDetailsdrawerShare	901.0 2153.0 236.0 137.0
unknown	rect	node:sheetDetails	901.0 2165.0 236.0 57.0
unknown	rect	node:sheet	901.0 2165.0 236.0 17.0
unknown	rect	node:Details	901.0 2186.0 236.0 36.0
unknown	rect	node:Details	901.0 2186.0 80.0 36.0
unknown	rect	node:Details	918.0 2194.0 46.2 20.0
unknown	rect	node:drawerShare	901.0 2234.0 236.0 56.0
unknown	rect	node:drawer	901.0 2234.0 236.0 16.0
unknown	rect	node:Share	901.0 2254.0 236.0 36.0
unknown	rect	node:Share	901.0 2254.0 73.0 36.0
unknown	rect	node:Share	918.0 2262.0 39.0 20.0
unknown	rect	node:Popover, tooltip, hover cardbeside a con	24.0 2340.0 514.0 273.0
unknown	rect	node:Popover, tooltip, hover card	41.0 2357.0 480.0 24.0
unknown	rect	node:beside a control rather than over the pa	41.0 2385.0 480.0 16.0
unknown	rect	node:popoverSizetooltipBhover card@ada	41.0 2405.0 480.0 191.0
unknown	rect	node:popoverSize	41.0 2417.0 480.0 57.0
unknown	rect	node:popover	41.0 2417.0 480.0 17.0
unknown	rect	node:Size	41.0 2438.0 480.0 36.0
unknown	rect	node:Size	41.0 2438.0 62.0 36.0
unknown	rect	node:Size	58.0 2446.0 28.4 20.0
unknown	rect	node:tooltipB	41.0 2486.0 480.0 56.0
unknown	rect	node:tooltip	41.0 2486.0 480.0 16.0
unknown	rect	node:B	41.0 2506.0 480.0 36.0
unknown	rect	node:B	41.0 2506.0 36.0 36.0
unknown	rect	node:B	41.0 2506.0 36.0 36.0
unknown	rect	node:B	54.0 2514.0 10.0 20.0
unknown	rect	node:hover card@ada	41.0 2554.0 480.0 42.0
unknown	rect	node:hover card	41.0 2554.0 480.0 17.0
unknown	rect	node:@ada	41.0 2575.0 480.0 21.0
unknown	rect	node:@ada	41.0 2575.0 37.0 21.0
unknown	rect	node:@ada	41.0 2575.0 37.0 21.0
unknown	rect	node:Dropdown and context menuitems, submenus	554.0 2340.0 314.0 222.0
unknown	rect	node:Dropdown and context menu	571.0 2357.0 280.0 24.0
unknown	rect	node:items, submenus, checks and radios	571.0 2385.0 280.0 16.0
unknown	rect	node:dropdownAccountcontext menuRight-click h	571.0 2405.0 280.0 140.0
unknown	rect	node:dropdownAccount	571.0 2417.0 280.0 57.0
unknown	rect	node:dropdown	571.0 2417.0 280.0 17.0
unknown	rect	node:Account	571.0 2438.0 280.0 36.0
unknown	rect	node:Account	571.0 2438.0 90.0 36.0
unknown	rect	node:Account	588.0 2446.0 56.0 20.0
unknown	rect	node:context menuRight-click here.	571.0 2486.0 280.0 59.0
unknown	rect	node:context menu	571.0 2486.0 280.0 16.0
unknown	rect	node:Right-click here.	571.0 2506.0 280.0 39.0
unknown	rect	node:Right-click here.	571.0 2506.0 123.0 39.0
unknown	rect	node:Right-click here.	571.0 2506.0 123.0 39.0
unknown	rect	node:Menubara bar of menus, walked left and r	884.0 2340.0 270.0 132.0
unknown	rect	node:Menubar	901.0 2357.0 236.0 24.0
unknown	rect	node:a bar of menus, walked left and right	901.0 2385.0 236.0 16.0
unknown	rect	node:FileEditView	901.0 2405.0 236.0 50.0
unknown	rect	node:FileEditView	901.0 2417.0 236.0 38.0
unknown	rect	node:File	906.0 2422.0 46.0 28.0
unknown	rect	node:File	906.0 2422.0 46.0 28.0
unknown	rect	node:File	918.0 2426.0 22.1 20.0
unknown	rect	node:Edit	956.0 2422.0 48.0 28.0
unknown	rect	node:Edit	956.0 2422.0 48.0 28.0
unknown	rect	node:Edit	968.0 2426.0 24.0 20.0
unknown	rect	node:View	1008.0 2422.0 54.0 28.0
unknown	rect	node:View	1008.0 2422.0 54.0 28.0
unknown	rect	node:View	1020.0 2426.0 30.7 20.0
unknown	rect	node:Select and comboboxchosen from a list, a	24.0 2629.0 514.0 219.0
unknown	rect	node:Select and combobox	41.0 2646.0 480.0 24.0
unknown	rect	node:chosen from a list, and searched for	41.0 2674.0 480.0 16.0
unknown	rect	node:selectPound sterlingEuropePound sterling	41.0 2694.0 480.0 137.0
unknown	rect	node:selectPound sterlingEuropePound sterling	41.0 2706.0 480.0 57.0
unknown	rect	node:select	41.0 2706.0 480.0 17.0
unknown	rect	node:Pound sterlingEuropePound sterlingEuroEl	41.0 2727.0 480.0 36.0
unknown	rect	node:Pound sterling	41.0 2727.0 180.0 36.0
unknown	rect	node:Pound sterling	50.0 2736.0 89.0 18.0
unknown	rect	node:	200.0 2739.0 12.0 12.0
unknown	rect	node:combobox	41.0 2775.0 480.0 56.0
unknown	rect	node:combobox	41.0 2775.0 480.0 16.0
unknown	rect	node:	41.0 2795.0 480.0 36.0
unknown	rect	node:	41.0 2795.0 480.0 36.0
unknown	rect	node:Commandeverything this program can do, i	554.0 2629.0 314.0 337.0
unknown	rect	node:Command	571.0 2646.0 280.0 24.0
unknown	rect	node:everything this program can do, in one s	571.0 2674.0 280.0 16.0
unknown	rect	node:InvoicesNew invoiceExport invoices⌘EAcco	571.0 2694.0 280.0 255.0
unknown	rect	node:InvoicesNew invoiceExport invoices⌘EAcco	571.0 2706.0 280.0 231.0
unknown	rect	node:	571.0 2706.0 280.0 36.0
unknown	rect	node:InvoicesNew invoiceExport invoices⌘EAcco	571.0 2742.0 280.0 195.0
unknown	rect	node:InvoicesNew invoiceExport invoices⌘E	575.0 2746.0 272.0 101.0
unknown	rect	node:Invoices	575.0 2746.0 272.0 25.0
unknown	rect	node:New invoice	575.0 2773.0 272.0 36.0
unknown	rect	node:	584.0 2783.0 16.0 16.0
unknown	rect	node:New invoice	763.0 2782.0 75.1 18.0
unknown	rect	node:Export invoices⌘E	575.0 2811.0 272.0 36.0
unknown	rect	node:	584.0 2821.0 16.0 16.0
unknown	rect	node:Export invoices	665.0 2820.0 94.2 18.0
unknown	rect	node:⌘E	939.0 2820.0 14.0 18.0
unknown	rect	node:	575.0 2851.0 272.0 1.0
unknown	rect	node:AccountSettings	575.0 2856.0 272.0 62.0
unknown	rect	node:Account	575.0 2856.0 272.0 24.0
unknown	rect	node:Settings	575.0 2882.0 272.0 36.0
unknown	rect	node:	584.0 2892.0 16.0 16.0
unknown	rect	node:Settings	788.0 2891.0 50.1 18.0
unknown	rect	node:	571.0 2949.0 280.0 0.0
unknown	rect	node:Breadcrumb and paginationwhere we are, a	884.0 2629.0 270.0 255.0
unknown	rect	node:Breadcrumb and pagination	901.0 2646.0 236.0 24.0
unknown	rect	node:where we are, and which page of it	901.0 2674.0 236.0 16.0
unknown	rect	node:breadcrumbHomeSettingsBillingpagination3	901.0 2694.0 236.0 173.0
unknown	rect	node:breadcrumbHomeSettingsBilling	901.0 2706.0 236.0 39.0
unknown	rect	node:breadcrumb	901.0 2706.0 236.0 17.0
unknown	rect	node:HomeSettingsBilling	901.0 2727.0 236.0 18.0
unknown	rect	node:HomeSettingsBilling	901.0 2727.0 221.0 18.0
unknown	rect	node:HomeSettingsBilling	901.0 2727.0 221.0 18.0
unknown	rect	node:Home	901.0 2727.0 36.0 18.0
unknown	rect	node:Home	901.0 2727.0 36.0 18.0
unknown	rect	node:	945.0 2730.0 12.0 12.0
unknown	rect	node:	945.0 2730.0 12.0 12.0
unknown	rect	node:Settings	965.0 2727.0 51.0 18.0
unknown	rect	node:Settings	965.0 2727.0 51.0 18.0
unknown	rect	node:	1024.0 2730.0 12.0 12.0
unknown	rect	node:	1024.0 2730.0 12.0 12.0
unknown	rect	node:	1044.0 2730.0 12.0 12.0
unknown	rect	node:	1044.0 2730.0 12.0 12.0
unknown	rect	node:	1044.0 2730.0 12.0 12.0
unknown	rect	node:	1064.0 2730.0 12.0 12.0
unknown	rect	node:	1064.0 2730.0 12.0 12.0
unknown	rect	node:Billing	1084.0 2727.0 38.0 18.0
unknown	rect	node:Billing	1084.0 2727.0 38.0 18.0
unknown	rect	node:pagination345	901.0 2757.0 236.0 56.0
unknown	rect	node:pagination	901.0 2757.0 236.0 16.0
unknown	rect	node:345	901.0 2777.0 236.0 36.0
unknown	rect	node:345	901.0 2777.0 236.0 36.0
unknown	rect	node:345	901.0 2777.0 236.0 36.0
unknown	rect	node:	901.0 2777.0 36.0 36.0
unknown	rect	node:	901.0 2777.0 36.0 36.0
unknown	rect	node:	913.0 2789.0 12.0 12.0
unknown	rect	node:3	941.0 2777.0 36.0 36.0
unknown	rect	node:3	941.0 2777.0 36.0 36.0
unknown	rect	node:3	955.0 2785.0 8.2 20.0
unknown	rect	node:4	981.0 2777.0 36.0 36.0
unknown	rect	node:4	981.0 2777.0 36.0 36.0
unknown	rect	node:4	995.0 2785.0 8.5 20.0
unknown	rect	node:5	1021.0 2777.0 36.0 36.0
unknown	rect	node:5	1021.0 2777.0 36.0 36.0
unknown	rect	node:5	1035.0 2785.0 8.0 20.0
unknown	rect	node:	1061.0 2777.0 36.0 36.0
unknown	rect	node:	1061.0 2777.0 36.0 36.0
unknown	rect	node:	1073.0 2789.0 12.0 12.0
unknown	rect	node:	1101.0 2777.0 36.0 36.0
unknown	rect	node:	1101.0 2777.0 36.0 36.0
unknown	rect	node:	1113.0 2789.0 12.0 12.0
unknown	rect	node:pagepage 4	901.0 2825.0 236.0 42.0
unknown	rect	node:page	901.0 2825.0 236.0 17.0
unknown	rect	node:page 4	901.0 2846.0 236.0 21.0
unknown	rect	node:page 4	901.0 2846.0 45.0 21.0
unknown	rect	node:Navigation menua section that opens unde	24.0 2982.0 514.0 127.0
unknown	rect	node:Navigation menu	41.0 2999.0 480.0 24.0
unknown	rect	node:a section that opens under the bar	41.0 3027.0 480.0 17.0
unknown	rect	node:ProductsCompanyPricing	41.0 3048.0 480.0 44.0
unknown	rect	node:ProductsCompanyPricing	41.0 3060.0 480.0 32.0
unknown	rect	node:ProductsCompanyPricing	41.0 3060.0 480.0 32.0
unknown	rect	node:Products	41.0 3060.0 80.0 32.0
unknown	rect	node:Products	41.0 3060.0 80.0 32.0
unknown	rect	node:Products	53.0 3066.0 56.0 19.5
unknown	rect	node:	41.0 3096.0 200.0 10.0
unknown	rect	node:Company	125.0 3060.0 83.0 32.0
unknown	rect	node:Company	125.0 3060.0 83.0 32.0
unknown	rect	node:Company	137.0 3066.0 59.6 19.5
unknown	rect	node:	125.0 3096.0 200.0 10.0
unknown	rect	node:Pricing	212.0 3060.0 68.0 32.0
unknown	rect	node:Pricing	212.0 3060.0 68.0 32.0
unknown	rect	node:Pricing	224.0 3066.0 44.0 19.5
unknown	rect	node:Sidebara panel down the side, folded by 	24.0 3125.0 1130.0 254.0
unknown	rect	node:Sidebar	41.0 3142.0 1096.0 24.0
unknown	rect	node:a panel down the side, folded by Ctrl+B	41.0 3170.0 1096.0 16.0
unknown	rect	node:zguiViewsFilesSearchHistorySigned in as 	41.0 3190.0 1096.0 172.0
unknown	rect	node:zguiViewsFilesSearchHistorySigned in as 	41.0 3202.0 1096.0 160.0
unknown	rect	node:zguiViewsFilesSearchHistorySigned in as 	50.0 3211.0 1078.0 142.0
unknown	rect	node:zguiViewsFilesSearchHistorySigned in as 	50.0 3211.0 260.0 142.0
unknown	rect	node:zgui	50.0 3211.0 259.0 46.0
unknown	rect	node:zgui	62.0 3223.0 235.0 21.0
unknown	rect	node:ViewsFilesSearchHistory	50.0 3257.0 259.0 50.0
unknown	rect	node:ViewsFilesSearchHistory	62.0 3269.0 220.0 121.0
unknown	rect	node:Views	62.0 3269.0 220.0 17.0
unknown	rect	node:FilesSearchHistory	62.0 3290.0 220.0 100.0
unknown	rect	node:Files	62.0 3290.0 220.0 32.0
unknown	rect	node:Files	62.0 3290.0 220.0 32.0
unknown	rect	node:Files	70.0 3296.0 29.1 19.5
unknown	rect	node:Search	62.0 3324.0 220.0 32.0
unknown	rect	node:Search	62.0 3324.0 220.0 32.0
unknown	rect	node:Search	70.0 3330.0 43.1 19.5
unknown	rect	node:History	62.0 3358.0 220.0 32.0
unknown	rect	node:History	62.0 3358.0 220.0 32.0
unknown	rect	node:History	70.0 3364.0 44.0 19.5
unknown	rect	node:Signed in as ada	50.0 3307.0 259.0 46.0
unknown	rect	node:Signed in as ada	62.0 3320.0 235.0 21.0
unknown	rect	node:The document.	310.0 3211.0 818.0 142.0
unknown	rect	node:	310.0 3211.0 28.0 28.0
unknown	rect	node:	318.0 3219.0 12.0 12.0
unknown	rect	node:The document.	310.0 3239.0 818.0 21.0
unknown	rect	node:Scroll areaa long list in a short box, w	24.0 3395.0 514.0 255.0
unknown	rect	node:Scroll area	41.0 3412.0 480.0 24.0
unknown	rect	node:a long list in a short box, with its own	41.0 3440.0 480.0 17.0
unknown	rect	node:AdaGraceBarbaraKatherineMargaretRadiaFra	41.0 3461.0 480.0 172.0
unknown	rect	node:AdaGraceBarbaraKatherineMargaretRadiaFra	41.0 3473.0 480.0 160.0
unknown	rect	node:AdaGraceBarbaraKatherineMargaretRadiaFra	41.0 3473.0 480.0 160.0
unknown	rect	node:AdaGraceBarbaraKatherineMargaretRadiaFra	41.0 3473.0 465.0 688.0
unknown	rect	node:Ada	41.0 3473.0 465.0 21.0
unknown	rect	node:Grace	41.0 3502.0 465.0 21.0
unknown	rect	node:Barbara	41.0 3531.0 465.0 21.0
unknown	rect	node:Katherine	41.0 3560.0 465.0 21.0
unknown	rect	node:Margaret	41.0 3589.0 465.0 21.0
unknown	rect	node:Radia	41.0 3618.0 465.0 21.0
unknown	rect	node:Frances	41.0 3647.0 465.0 21.0
unknown	rect	node:Jean	41.0 3676.0 465.0 21.0
unknown	rect	node:Adele	41.0 3705.0 465.0 21.0
unknown	rect	node:Mary	41.0 3734.0 465.0 21.0
unknown	rect	node:Evelyn	41.0 3763.0 465.0 21.0
unknown	rect	node:Betty	41.0 3792.0 465.0 21.0
unknown	rect	node:Kathleen	41.0 3821.0 465.0 21.0
unknown	rect	node:Marlyn	41.0 3850.0 465.0 21.0
unknown	rect	node:Ruth	41.0 3879.0 465.0 21.0
unknown	rect	node:Joan	41.0 3908.0 465.0 21.0
unknown	rect	node:Sister	41.0 3937.0 465.0 21.0
unknown	rect	node:Erna	41.0 3966.0 465.0 21.0
unknown	rect	node:Klara	41.0 3995.0 465.0 21.0
unknown	rect	node:Hedy	41.0 4024.0 465.0 21.0
unknown	rect	node:Dorothy	41.0 4053.0 465.0 21.0
unknown	rect	node:Annie	41.0 4082.0 465.0 21.0
unknown	rect	node:Henrietta	41.0 4111.0 465.0 21.0
unknown	rect	node:Williamina	41.0 4140.0 465.0 21.0
unknown	rect	node:	511.0 3473.0 10.0 160.0
unknown	rect	node:	513.0 3475.0 6.0 37.0
unknown	rect	node:Resizablea handle the pointer drags and 	554.0 3395.0 314.0 255.0
unknown	rect	node:Resizable	571.0 3412.0 280.0 24.0
unknown	rect	node:a handle the pointer drags and the arrow	571.0 3440.0 280.0 17.0
unknown	rect	node:InboxArchiveThe message, and what it say	571.0 3461.0 280.0 172.0
unknown	rect	node:InboxArchiveThe message, and what it say	571.0 3473.0 280.0 160.0
unknown	rect	node:InboxArchiveThe message, and what it say	571.0 3473.0 280.0 160.0
unknown	rect	node:InboxArchive	571.0 3473.0 98.0 160.0
unknown	rect	node:InboxArchive	571.0 3473.0 98.0 50.0
unknown	rect	node:Inbox	571.0 3473.0 98.0 21.0
unknown	rect	node:Archive	571.0 3502.0 98.0 21.0
unknown	rect	node:	669.0 3473.0 1.0 160.0
unknown	rect	node:The message, and what it says.	670.0 3473.0 182.0 160.0
unknown	rect	node:The message, and what it says.	670.0 3473.0 182.0 42.0
unknown	rect	node:Carouselone slide at a time, stepped wit	884.0 3395.0 270.0 134.0
unknown	rect	node:Carousel	901.0 3412.0 236.0 24.0
unknown	rect	node:one slide at a time, stepped with the ar	901.0 3440.0 236.0 17.0
unknown	rect	node:OneTwoThree	901.0 3461.0 236.0 51.0
unknown	rect	node:OneTwoThree	901.0 3473.0 236.0 39.0
unknown	rect	node:OneTwoThree	901.0 3473.0 172.0 39.0
unknown	rect	node:OneTwoThree	901.0 3473.0 172.0 39.0
unknown	rect	node:One	901.0 3473.0 172.0 39.0
unknown	rect	node:One	901.0 3473.0 172.0 39.0
unknown	rect	node:Two	1073.0 3473.0 172.0 39.0
unknown	rect	node:Two	1073.0 3473.0 172.0 39.0
unknown	rect	node:Three	1245.0 3473.0 172.0 39.0
unknown	rect	node:Three	1245.0 3473.0 172.0 39.0
unknown	rect	node:	1073.0 3476.0 32.0 32.0
unknown	rect	node:	1083.0 3486.0 12.0 12.0
unknown	rect	node:	1105.0 3476.0 32.0 32.0
unknown	rect	node:	1115.0 3486.0 12.0 12.0
unknown	rect	node:Tablelaid out by the column track list, 	24.0 3666.0 514.0 302.0
unknown	rect	node:Table	41.0 3683.0 480.0 24.0
unknown	rect	node:laid out by the column track list, not b	41.0 3711.0 480.0 16.0
unknown	rect	node:Last three monthsInvoiceAmountINV-001£25	41.0 3731.0 480.0 220.0
unknown	rect	node:Last three monthsInvoiceAmountINV-001£25	41.0 3743.0 480.0 208.0
unknown	rect	node:Last three months	41.0 3743.0 480.0 34.0
unknown	rect	node:Invoice	41.0 3777.0 360.0 35.0
unknown	rect	node:Invoice	53.0 3785.0 45.0 18.0
unknown	rect	node:Amount	401.0 3777.0 120.0 35.0
unknown	rect	node:Amount	459.0 3785.0 50.0 18.0
unknown	rect	node:INV-001	41.0 3812.0 360.0 35.0
unknown	rect	node:INV-001	53.0 3820.0 49.0 18.0
unknown	rect	node:£250.00	401.0 3812.0 120.0 35.0
unknown	rect	node:£250.00	461.0 3820.0 48.1 18.0
unknown	rect	node:INV-002	41.0 3847.0 360.0 35.0
unknown	rect	node:INV-002	53.0 3855.0 49.0 18.0
unknown	rect	node:£125.00	401.0 3847.0 120.0 35.0
unknown	rect	node:£125.00	461.0 3855.0 48.1 18.0
unknown	rect	node:INV-003	41.0 3882.0 360.0 35.0
unknown	rect	node:INV-003	53.0 3890.0 49.0 18.0
unknown	rect	node:£42.00	401.0 3882.0 120.0 35.0
unknown	rect	node:£42.00	468.0 3890.0 41.0 18.0
unknown	rect	node:Total	41.0 3917.0 360.0 34.0
unknown	rect	node:Total	53.0 3925.0 30.3 18.0
unknown	rect	node:£417.00	401.0 3917.0 120.0 34.0
unknown	rect	node:£417.00	461.0 3925.0 48.2 18.0
unknown	rect	node:Data tablesorted, searched, selected and	24.0 3984.0 1130.0 320.0
unknown	rect	node:Data table	41.0 4001.0 1096.0 24.0
unknown	rect	node:sorted, searched, selected and paged	41.0 4029.0 1096.0 17.0
unknown	rect	node:0 selectedItemCostPaper250pInk1250pBindi	41.0 4050.0 1096.0 237.0
unknown	rect	node:0 selectedItemCostPaper250pInk1250pBindi	41.0 4062.0 1096.0 225.0
unknown	rect	node:0 selected	41.0 4062.0 1096.0 39.0
unknown	rect	node:	41.0 4063.0 1030.0 36.0
unknown	rect	node:0 selected	1079.0 4062.0 58.0 39.0
unknown	rect	node:ItemCostPaper250pInk1250pBinding400p	41.0 4109.0 1096.0 142.0
unknown	rect	node:	42.0 4110.0 40.0 35.0
unknown	rect	node:	54.0 4119.0 16.0 16.0
unknown	rect	node:	50.0 4121.0 12.0 12.0
unknown	rect	node:	62.0 4121.0 12.0 12.0
unknown	rect	node:Item	82.0 4110.0 934.0 35.0
unknown	rect	node:Item	94.0 4118.0 908.0 18.0
unknown	rect	node:Item	94.0 4118.0 29.4 18.0
unknown	rect	node:	1010.0 4118.0 6.0 18.0
unknown	rect	node:Cost	1016.0 4110.0 120.0 35.0
unknown	rect	node:Cost	1028.0 4118.0 94.0 18.0
unknown	rect	node:Cost	1028.0 4118.0 27.5 18.0
unknown	rect	node:	1130.0 4118.0 6.0 18.0
unknown	rect	node:	42.0 4145.0 1094.0 0.0
unknown	rect	node:	42.0 4145.0 40.0 35.0
unknown	rect	node:	54.0 4154.0 16.0 16.0
unknown	rect	node:	50.0 4156.0 12.0 12.0
unknown	rect	node:	62.0 4156.0 12.0 12.0
unknown	rect	node:Paper	82.0 4145.0 934.0 35.0
unknown	rect	node:Paper	94.0 4153.0 36.0 18.0
unknown	rect	node:250p	1016.0 4145.0 120.0 35.0
unknown	rect	node:250p	1094.0 4153.0 30.3 18.0
unknown	rect	node:	42.0 4180.0 40.0 35.0
unknown	rect	node:	54.0 4189.0 16.0 16.0
unknown	rect	node:	50.0 4191.0 12.0 12.0
unknown	rect	node:	62.0 4191.0 12.0 12.0
unknown	rect	node:Ink	82.0 4180.0 934.0 35.0
unknown	rect	node:Ink	94.0 4188.0 19.4 18.0
unknown	rect	node:1250p	1016.0 4180.0 120.0 35.0
unknown	rect	node:1250p	1086.0 4188.0 38.0 18.0
unknown	rect	node:	42.0 4215.0 40.0 35.0
unknown	rect	node:	54.0 4224.0 16.0 16.0
unknown	rect	node:	50.0 4226.0 12.0 12.0
unknown	rect	node:	62.0 4226.0 12.0 12.0
unknown	rect	node:Binding	82.0 4215.0 934.0 35.0
unknown	rect	node:Binding	94.0 4223.0 47.2 18.0
unknown	rect	node:400p	1016.0 4215.0 120.0 35.0
unknown	rect	node:400p	1094.0 4223.0 30.3 18.0
unknown	rect	node:	42.0 4250.0 1094.0 0.0
unknown	rect	node:Page 1 of 2‹›	41.0 4259.0 1096.0 28.0
unknown	rect	node:Page 1 of 2	997.0 4263.0 68.0 19.0
unknown	rect	node:‹	2029.0 4259.0 28.0 28.0
unknown	rect	node:‹	2041.0 4263.0 4.0 19.5
unknown	rect	node:›	2065.0 4259.0 28.0 28.0
unknown	rect	node:›	2077.0 4263.0 4.0 19.5
unknown	rect	node:Chartthe same series drawn three ways050	24.0 4320.0 514.0 904.0
unknown	rect	node:Chart	41.0 4337.0 480.0 24.0
unknown	rect	node:the same series drawn three ways	41.0 4365.0 480.0 16.0
unknown	rect	node:050100150200Units050100150200Units050100	41.0 4385.0 480.0 822.0
unknown	rect	node:050100150200Units050100150200Units050100	41.0 4397.0 480.0 810.0
unknown	rect	node:050100150200Units	41.0 4397.0 480.0 265.0
unknown	rect	node:050100150200	41.0 4397.0 480.0 240.0
unknown	rect	node:	41.0 4397.0 480.0 240.0
unknown	rect	node:0	41.0 4606.0 6.0 17.0
unknown	rect	node:50	41.0 4557.0 13.0 16.0
unknown	rect	node:100	41.0 4507.0 19.0 17.0
unknown	rect	node:150	41.0 4457.0 19.0 17.0
unknown	rect	node:200	41.0 4408.0 19.0 16.0
unknown	rect	node:	41.0 4397.0 480.0 0.0
unknown	rect	node:	94.0 4494.0 68.0 119.0
unknown	rect	node:	179.0 4435.0 69.0 178.0
unknown	rect	node:	265.0 4524.0 68.0 89.0
unknown	rect	node:	350.0 4455.0 69.0 158.0
unknown	rect	node:	436.0 4405.0 68.0 208.0
unknown	rect	node:Units	41.0 4637.0 480.0 25.0
unknown	rect	node:Units	41.0 4645.0 41.0 17.0
unknown	rect	node:	41.0 4648.0 10.0 10.0
unknown	rect	node:Units	55.0 4645.0 27.0 17.0
unknown	rect	node:050100150200Units	41.0 4670.0 480.0 264.0
unknown	rect	node:050100150200	41.0 4670.0 480.0 240.0
unknown	rect	node:	41.0 4670.0 480.0 240.0
unknown	rect	node:0	41.0 4879.0 6.0 16.0
unknown	rect	node:50	41.0 4829.0 13.0 17.0
unknown	rect	node:100	41.0 4780.0 19.0 16.0
unknown	rect	node:150	41.0 4730.0 19.0 16.0
unknown	rect	node:200	41.0 4680.0 19.0 17.0
unknown	rect	node:	41.0 4670.0 480.0 0.0
unknown	rect	node:	41.0 4670.0 480.0 240.0
unknown	rect	node:	124.0 4763.0 8.0 8.0
unknown	rect	node:	209.0 4703.0 8.0 8.0
unknown	rect	node:	295.0 4792.0 8.0 8.0
unknown	rect	node:	381.0 4723.0 8.0 8.0
unknown	rect	node:	466.0 4674.0 8.0 8.0
unknown	rect	node:Units	41.0 4910.0 480.0 24.0
unknown	rect	node:Units	41.0 4918.0 41.0 16.0
unknown	rect	node:	41.0 4921.0 10.0 10.0
unknown	rect	node:Units	55.0 4918.0 27.0 16.0
unknown	rect	node:050100150200Units	41.0 4942.0 480.0 265.0
unknown	rect	node:050100150200	41.0 4942.0 480.0 240.0
unknown	rect	node:	41.0 4942.0 480.0 240.0
unknown	rect	node:0	41.0 5151.0 6.0 17.0
unknown	rect	node:50	41.0 5102.0 13.0 16.0
unknown	rect	node:100	41.0 5052.0 19.0 17.0
unknown	rect	node:150	41.0 5002.0 19.0 17.0
unknown	rect	node:200	41.0 4953.0 19.0 16.0
unknown	rect	node:	41.0 4942.0 480.0 0.0
unknown	rect	node:	41.0 4942.0 480.0 240.0
unknown	rect	node:	124.0 5035.0 8.0 8.0
unknown	rect	node:	209.0 4976.0 8.0 8.0
unknown	rect	node:	295.0 5065.0 8.0 8.0
unknown	rect	node:	381.0 4996.0 8.0 8.0
unknown	rect	node:	466.0 4946.0 8.0 8.0
unknown	rect	node:Units	41.0 5182.0 480.0 25.0
unknown	rect	node:Units	41.0 5190.0 41.0 17.0
unknown	rect	node:	41.0 5193.0 10.0 10.0
unknown	rect	node:Units	55.0 5190.0 27.0 17.0
unknown	rect	node:Calendar and date pickera month, and a m	554.0 4320.0 314.0 434.0
unknown	rect	node:Calendar and date picker	571.0 4337.0 280.0 24.0
unknown	rect	node:a month, and a month behind a button	571.0 4365.0 280.0 16.0
unknown	rect	node:‹July 2026›SuMoTuWeThFrSa282930123456789	571.0 4385.0 280.0 352.0
unknown	rect	node:‹July 2026›SuMoTuWeThFrSa282930123456789	571.0 4397.0 280.0 340.0
unknown	rect	node:‹July 2026›SuMoTuWeThFrSa282930123456789	571.0 4397.0 262.0 294.0
unknown	rect	node:‹July 2026›	584.0 4410.0 236.0 28.0
unknown	rect	node:‹	584.0 4410.0 28.0 28.0
unknown	rect	node:‹	596.0 4415.0 4.0 18.0
unknown	rect	node:July 2026	620.0 4415.0 164.0 18.0
unknown	rect	node:›	792.0 4410.0 28.0 28.0
unknown	rect	node:›	804.0 4415.0 4.0 18.0
unknown	rect	node:SuMoTuWeThFrSa28293012345678910111213141	584.0 4446.0 236.0 232.0
unknown	rect	node:Su	584.0 4446.0 32.0 28.0
unknown	rect	node:Su	594.0 4451.0 12.8 18.0
unknown	rect	node:Mo	618.0 4446.0 32.0 28.0
unknown	rect	node:Mo	626.0 4451.0 16.6 18.0
unknown	rect	node:Tu	652.0 4446.0 32.0 28.0
unknown	rect	node:Tu	662.0 4451.0 12.4 18.0
unknown	rect	node:We	686.0 4446.0 32.0 28.0
unknown	rect	node:We	694.0 4451.0 16.2 18.0
unknown	rect	node:Th	720.0 4446.0 32.0 28.0
unknown	rect	node:Th	730.0 4451.0 12.9 18.0
unknown	rect	node:Fr	754.0 4446.0 32.0 28.0
unknown	rect	node:Fr	765.0 4451.0 10.3 18.0
unknown	rect	node:Sa	788.0 4446.0 32.0 28.0
unknown	rect	node:Sa	798.0 4451.0 12.2 18.0
unknown	rect	node:28	584.0 4476.0 32.0 32.0
unknown	rect	node:28	593.0 4483.0 14.9 18.0
unknown	rect	node:29	618.0 4476.0 32.0 32.0
unknown	rect	node:29	627.0 4483.0 14.9 18.0
unknown	rect	node:30	652.0 4476.0 32.0 32.0
unknown	rect	node:30	661.0 4483.0 14.9 18.0
unknown	rect	node:1	686.0 4476.0 32.0 32.0
unknown	rect	node:1	698.0 4483.0 8.0 18.0
unknown	rect	node:2	720.0 4476.0 32.0 32.0
unknown	rect	node:2	732.0 4483.0 8.0 18.0
unknown	rect	node:3	754.0 4476.0 32.0 32.0
unknown	rect	node:3	766.0 4483.0 8.0 18.0
unknown	rect	node:4	788.0 4476.0 32.0 32.0
unknown	rect	node:4	800.0 4483.0 8.0 18.0
unknown	rect	node:5	584.0 4510.0 32.0 32.0
